id,card,provider,source,attribution-link
1,Attack,MyTeam.Art,https://www.freepik.com/free-vector/ancient-warrior-fights-against-dragon-arena-fighting-amphitheater_14445474.htm,https://myteam.art/
2,Backstab,MyTeam.Art,https://www.freepik.com/free-vector/treasure-cartoon-background-with-pirate-cave-gold_13377759.htm,https://myteam.art/
3,Capture,Macrovector,https://macrovector.com/vector-image/medieval-isolated-decorative-icons-set-knightly-vector-illustration-24383,https://macrovector.com/
4,Destroy,PCH.Vector,https://stock.adobe.com/au/images/medieval-cannons-with-cannonballs-flat-illustration-set-cartoon-metal-and-wooden-weapon-for-old-ships-and-firing-battle-isolated-vector-illustration-collection-history-destruction-and-war-concept/375168548,https://stock.adobe.com/au/contributor/207798007/pch-vector
5,Heist,Anna,https://annaradwan.com,https://www.annaradwan.com/
6,Sabotage,Macrovector,https://macrovector.com/vector-image/wild-west-cowboy-set-isolated-flat-vector-illustration-40743,https://macrovector.com/
7,Spy,TeraVector,https://stock.adobe.com/au/images/nfc-technology-use-flat-vector-banner-template/250339766,https://stock.adobe.com/au/contributor/207583601/teravector
8,Defend,MyTeam.Art,https://www.freepik.com/free-vector/ancient-warrior-fights-against-dragon-arena-fighting-amphitheater_14445474.htm,https://myteam.art/
9,Goody Bag,MyTeam.Art,https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm,https://myteam.art/
10,Goody Bag+,MyTeam.Art,https://www.freepik.com/free-vector/treasury-icons-pile-golden-coins-jewelry-gem-cartoon-set-treasure-chest-bag-wooden-barrel-full-gold-goblet-crown-scepter-dagger_10654711.htm,https://myteam.art/
11,Barracks,MyTeam.Art,https://www.freepik.com/free-vector/old-tavern-vintage-pub-with-wooden-bar-counter-shelf-with-bottles-lanterns-beer-mug-table-vector-cartoon-empty-interior-retro-saloon-with-barrel-darts-target-wall_11420831.htm,https://myteam.art/
12,Farm,MyTeam.Art,https://www.freepik.com/free-vector/old-windmills-vintage-stone_13875696.htm,https://myteam.art/
13,Fort,MyTeam.Art,https://www.freepik.com/free-vector/carnival-funfair-with-circus-roller-coaster_7198588.htm,https://myteam.art/
14,Spell Tower,MyTeam.Art,https://www.freepik.com/free-vector/pink-magic-castle_10385773.htm,https://myteam.art/
15,Barrier,SurfupVector,https://stock.adobe.com/images/various-magic-balls-flat-icon-set-cartoon-energy-spheres-fortune-paranormal-glasses-magician-crystal-orbs-vector-illustration-collection-fantasy-and-mystery-concept/364967210,https://stock.adobe.com/au/contributor/205968087/surfupvector
16,Black Hole,SurfupVector,https://stock.adobe.com/images/various-magic-balls-flat-icon-set-cartoon-energy-spheres-fortune-paranormal-glasses-magician-crystal-orbs-vector-illustration-collection-fantasy-and-mystery-concept/364967210,https://stock.adobe.com/au/contributor/205968087/surfupvector
17,Blood Magic,SurfupVector,https://stock.adobe.com/images/various-magic-balls-flat-icon-set-cartoon-energy-spheres-fortune-paranormal-glasses-magician-crystal-orbs-vector-illustration-collection-fantasy-and-mystery-concept/364967210,https://stock.adobe.com/au/contributor/205968087/surfupvector
18,Nullify,SurfupVector,https://stock.adobe.com/images/various-magic-balls-flat-icon-set-cartoon-energy-spheres-fortune-paranormal-glasses-magician-crystal-orbs-vector-illustration-collection-fantasy-and-mystery-concept/364967210,https://stock.adobe.com/au/contributor/205968087/surfupvector
19,Oracle,SurfupVector,https://stock.adobe.com/images/various-magic-balls-flat-icon-set-cartoon-energy-spheres-fortune-paranormal-glasses-magician-crystal-orbs-vector-illustration-collection-fantasy-and-mystery-concept/364967210,https://stock.adobe.com/au/contributor/205968087/surfupvector
20,Cultist,MyTeam.Art,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,https://myteam.art/
21,Demon Lord,MyTeam.Art,https://www.freepik.com/free-vector/fantasy-landscape-with-ancient-stone-altar-with-devil-horns-liquid-magma-flows-mountain-cave-vector-cartoon-illustration-with-rocks-tribal-totem-hot-lava-lake_21329515.htm,https://myteam.art/
22,Knight,iconicbestiary,https://stock.adobe.com/images/medieval-coat-of-arms-with-knight-helmet/95398658,https://stock.adobe.com/au/contributor/205784104/iconicbestiary
23,The Crown,MyTeam.Art,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,https://myteam.art/
24,Usurper,MyTeam.Art,https://www.freepik.com/free-vector/queen-palace-medieval-throne-room-interior-royal-family-cartoon-character-monarchy-person-gold_19394392.htm,https://myteam.art/
25,Health Bar,Macrovector,https://macrovector.com/vector-image/precious-jewels-beautiful-luxury-accessories-adornments-vector-illustration-11949,https://macrovector.com/
26,Card Back,,n/a,
27,Card Back Health Bar,,n/a,
28,Card Back Oracle,,n/a,
29,Card Back Role,,n/a,
30,Cover Art,MyTeam.Art,https://www.freepik.com/free-vector/king-holding-goblet-sitting-table-with-food_8625414.htm,https://myteam.art/
31,Cover Art,MyTeam.Art,https://www.freepik.com/free-vector/abandoned-castle-throne-room-with-dragon-fly-outside-window_13196120.htm,https://myteam.art/
32,Cover Art,MyTeam.Art,https://www.freepik.com/free-vector/man-wizard-with-magic-staff-road-pink-castle_21798259.htm,https://myteam.art/
33,Cover Art,MyTeam.Art,https://www.freepik.com/free-vector/ancient-egyptian-god-amun-osiris-pharaoh-cleopatra-vector-cartoon-characters-egypt-mythology-king-queen-god-with-falcon-head-horus-amon-ra_9465961.htm,https://myteam.art/
34,Cover Art,MyTeam.Art,https://www.freepik.com/free-vector/prince-princess-throne-room-castle-hall_13277003.htm,https://myteam.art/
,,,,https://myteam.art/
